ean,nom,prix,magasin,image,categorie,nutriscore
0000101209159,Véritable pâte à tartiner noisettes chocolat noir,3.61,Monoprix,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/010/120/9159/3.400.jpg,Pates a tartiner,e
0000101209159,Véritable pâte à tartiner noisettes chocolat noir,3.43,Carrefour,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/010/120/9159/3.400.jpg,Pates a tartiner,e
0000101209159,Véritable pâte à tartiner noisettes chocolat noir,3.4,Super U,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/010/120/9159/3.400.jpg,Pates a tartiner,e
0000130008136,Escalope de dinde,2.49,Auchan,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/013/000/8136/1.400.jpg,Meats and their products,unknown
0000130008136,Escalope de dinde,2.43,Super U,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/013/000/8136/1.400.jpg,Meats and their products,unknown
0000130008136,Escalope de dinde,2.72,Leclerc,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/013/000/8136/1.400.jpg,Meats and their products,unknown
0000140323687,Madeleine Framboise,2.52,Auchan,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/014/032/3687/2.400.jpg,Snacks,unknown
0000140323687,Madeleine Framboise,3.2,Super U,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/014/032/3687/2.400.jpg,Snacks,unknown
0000140323687,Madeleine Framboise,3.42,Leclerc,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/014/032/3687/2.400.jpg,Snacks,unknown
0000141013129,Croissants margarine,3.46,Auchan,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/014/101/3129/2.400.jpg,Snacks,unknown
0000141013129,Croissants margarine,2.43,Monoprix,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/014/101/3129/2.400.jpg,Snacks,unknown
0000141013129,Croissants margarine,3.25,Super U,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/014/101/3129/2.400.jpg,Snacks,unknown
0000171812457,Glaces vegetales des alpes,2.36,Intermarché,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/017/181/2457/2.400.jpg,Épicerie,unknown
0000171812457,Glaces vegetales des alpes,2.65,Carrefour,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/017/181/2457/2.400.jpg,Épicerie,unknown
0000171812457,Glaces vegetales des alpes,2.38,Auchan,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/017/181/2457/2.400.jpg,Épicerie,unknown
0000209024937,The simpsons donuts,3.48,Super U,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/020/902/4937/2.400.jpg,Snacks,e
0000209024937,The simpsons donuts,3.27,Leclerc,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/020/902/4937/2.400.jpg,Snacks,e
0000209024937,The simpsons donuts,3.37,Intermarché,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/020/902/4937/2.400.jpg,Snacks,e
0000228000080,Terrine de campagne,2.47,Monoprix,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/022/800/0080/1.400.jpg,Meats and their products,unknown
0000228000080,Terrine de campagne,2.46,Leclerc,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/022/800/0080/1.400.jpg,Meats and their products,unknown
0000228000080,Terrine de campagne,2.4,Intermarché,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/022/800/0080/1.400.jpg,Meats and their products,unknown
0000234022960,Croissants pur beurre,2.58,Auchan,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/023/402/2960/2.400.jpg,Snacks,e
0000234022960,Croissants pur beurre,3.11,Monoprix,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/023/402/2960/2.400.jpg,Snacks,e
0000234022960,Croissants pur beurre,2.96,Leclerc,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/023/402/2960/2.400.jpg,Snacks,e
0000241013128,Eclairs,2.47,Leclerc,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/024/101/3128/3.400.jpg,Snacks,d
0000241013128,Eclairs,2.44,Super U,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/024/101/3128/3.400.jpg,Snacks,d
0000241013128,Eclairs,2.63,Intermarché,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/024/101/3128/3.400.jpg,Snacks,d
0000247016406,Beignets gourmands parfum choco-noisettes,3.09,Intermarché,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/024/701/6406/3.400.jpg,Snacks,c
0000247016406,Beignets gourmands parfum choco-noisettes,3.22,Super U,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/024/701/6406/3.400.jpg,Snacks,c
0000247016406,Beignets gourmands parfum choco-noisettes,2.99,Carrefour,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/024/701/6406/3.400.jpg,Snacks,c
0000260440264,Confit d'Oignons ou de figues,2.55,Intermarché,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/026/044/0264/2.400.jpg,Plant based foods and beverages,d
0000260440264,Confit d'Oignons ou de figues,3.27,Super U,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/026/044/0264/2.400.jpg,Plant based foods and beverages,d
0000260440264,Confit d'Oignons ou de figues,3.26,Carrefour,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/026/044/0264/2.400.jpg,Plant based foods and beverages,d
0000310413620,Lomo de bellota  ibérico 50% raza ibérica,3.18,Super U,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/031/041/3620/2.400.jpg,Épicerie,unknown
0000310413620,Lomo de bellota  ibérico 50% raza ibérica,3.11,Monoprix,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/031/041/3620/2.400.jpg,Épicerie,unknown
0000310413620,Lomo de bellota  ibérico 50% raza ibérica,2.63,Auchan,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/031/041/3620/2.400.jpg,Épicerie,unknown
0000554004509,Pain de mie sans gluten,2.88,Super U,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/055/400/4509/2.400.jpg,Plant based foods and beverages,c
0000554004509,Pain de mie sans gluten,3.23,Intermarché,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/055/400/4509/2.400.jpg,Plant based foods and beverages,c
0000554004509,Pain de mie sans gluten,3.39,Leclerc,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/055/400/4509/2.400.jpg,Plant based foods and beverages,c
0000557910210,Flocon d'avoine - complète,3.39,Intermarché,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/055/791/0210/2.400.jpg,Plant based foods and beverages,b
0000557910210,Flocon d'avoine - complète,2.58,Auchan,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/055/791/0210/2.400.jpg,Plant based foods and beverages,b
0000557910210,Flocon d'avoine - complète,3.35,Super U,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/055/791/0210/2.400.jpg,Plant based foods and beverages,b
0000604007221,Pain Constance aux céréales,2.5,Monoprix,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/060/400/7221/2.400.jpg,Épicerie,unknown
0000604007221,Pain Constance aux céréales,2.81,Leclerc,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/060/400/7221/2.400.jpg,Épicerie,unknown
0000604007221,Pain Constance aux céréales,2.65,Super U,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/060/400/7221/2.400.jpg,Épicerie,unknown
0000605013450,Le lin,2.68,Carrefour,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/060/501/3450/2.400.jpg,Épicerie,unknown
0000605013450,Le lin,2.66,Super U,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/060/501/3450/2.400.jpg,Épicerie,unknown
0000605013450,Le lin,3.21,Auchan,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/060/501/3450/2.400.jpg,Épicerie,unknown
0000606009841,Beignets framboises,2.36,Monoprix,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/060/600/9841/1.400.jpg,Snacks,unknown
0000606009841,Beignets framboises,3.16,Carrefour,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/060/600/9841/1.400.jpg,Snacks,unknown
0000606009841,Beignets framboises,3.33,Leclerc,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/060/600/9841/1.400.jpg,Snacks,unknown
0000628006569,L'Envoûtante (Pain),3,Auchan,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/062/800/6569/2.400.jpg,Plant based foods and beverages,c
0000628006569,L'Envoûtante (Pain),2.88,Monoprix,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/062/800/6569/2.400.jpg,Plant based foods and beverages,c
0000628006569,L'Envoûtante (Pain),2.72,Carrefour,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/062/800/6569/2.400.jpg,Plant based foods and beverages,c
0000653007548,Baguettine aux olives,3.44,Leclerc,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/065/300/7548/3.400.jpg,Épicerie,unknown
0000653007548,Baguettine aux olives,3.27,Intermarché,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/065/300/7548/3.400.jpg,Épicerie,unknown
0000653007548,Baguettine aux olives,3.01,Auchan,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/065/300/7548/3.400.jpg,Épicerie,unknown
0000672016408,Muffin double chocolat,3.39,Leclerc,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/067/201/6408/3.400.jpg,Snacks,d
0000672016408,Muffin double chocolat,3.25,Intermarché,https://openfoodfacts-images.s3.eu-west-3.amazonaws.com/data/000/067/201/6408/3.400.jpg,Snacks,d
